Input Memory,Output Memory,Input Datatype,Num Tiles,Actual Duration [ns],Estimated Duration [ns]
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42007,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21305,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42015,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21312,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42017,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21314,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42002,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21324,21227.412138156786
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,128,42007,41927.08371691274
L1_WIDTH_SHARDED,L1_WIDTH_SHARDED,BFLOAT16,64,21315,21227.412138156786
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,772,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,762,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,777,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,763,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,783,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,772,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,770,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,775,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5622,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1824,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1912,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,932,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5625,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1778,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1823,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,869,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5625,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1773,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1816,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,867,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5619,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1770,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1816,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,877,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5616,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1769,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1805,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,867,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5623,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1767,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1804,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,873,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5618,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1774,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1799,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,1,876,899.2836735781758
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,16,5618,5749.735275305163
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1768,1869.3739939235732
L1_BLOCK_SHARDED,L1_BLOCK_SHARDED,BFLOAT16,4,1830,1869.3739939235732
