DEVICE KERNEL DURATION [ns],NUM_TILES,INPUT_0_DATATYPE,INPUT_0_MEMORY,OUTPUT_0_MEMORY
5637,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3108,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21144,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5655,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3127,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21137,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
5644,16,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
3131,8,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83274,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41932,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
11055,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83277,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41928,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10956,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83255,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41929,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10971,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83275,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41916,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10963,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83267,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41937,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10965,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83266,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41941,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10979,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83260,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41932,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10956,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83275,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41920,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10959,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83272,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41917,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10952,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
83261,256,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41915,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
10969,32,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
41993,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21377,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42009,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21301,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42011,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21320,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42015,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21314,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42006,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21316,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42010,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21308,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42004,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21310,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42006,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21317,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42010,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21316,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
42004,128,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
21307,64,BFLOAT16,L1_WIDTH_SHARDED,L1_WIDTH_SHARDED
764,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
768,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
770,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
767,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
770,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
768,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
771,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
766,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
769,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
766,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5622,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1830,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1904,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
947,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5625,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1782,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1816,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
893,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5625,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1764,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1819,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
869,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5628,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1761,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1809,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
866,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5627,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1772,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1810,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
875,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5624,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1767,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1828,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
867,1,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
5623,16,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1778,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
1804,4,BFLOAT16,L1_BLOCK_SHARDED,L1_BLOCK_SHARDED
